AOP_ID,Source_KE,Target_KE,KER_ID
AOP:1,KE:245,KE:471,1
AOP:1,KE:245,KE:258,2
AOP:1,KE:245,KE:54,3
AOP:1,KE:54,KE:115,4
AOP:1,KE:115,KE:291,5
AOP:1,KE:258,KE:89,6
AOP:1,KE:89,KE:291,7
AOP:1,KE:471,KE:472,8
AOP:1,KE:471,KE:474,9
AOP:1,KE:472,KE:860,10
AOP:1,KE:474,KE:860,11
AOP:1,KE:860,KE:10106,12
AOP:1,KE:10106,KE:291,13
AOP:1,KE:291,KE:345,14
AOP:2,KE:1879,KE:1194,15
AOP:2,KE:1194,KE:177,16
AOP:2,KE:177,KE:1115,17
AOP:2,KE:1115,KE:1392,18
AOP:2,KE:1392,KE:1825,19
AOP:2,KE:1825,KE:149,20
AOP:2,KE:149,KE:1097,21
AOP:2,KE:1097,KE:759,22
AOP:472,KE:1879,KE:1194,23
AOP:472,KE:1194,KE:177,24
AOP:472,KE:177,KE:1115,25
AOP:472,KE:1115,KE:1392,26
AOP:472,KE:1392,KE:1825,27
AOP:472,KE:1825,KE:149,28
AOP:472,KE:149,KE:1097,29
AOP:472,KE:1097,KE:759,30
