WPID,gene_id,edge_id
WP3941,596,3640
WP4147,1499,3638
WP4352,1499,3639
WP4147,4851,3630
WP4875,2911,3631
WP3941,5603,3632
WP3941,714,3633
WP4352,3020,3634
WP4147,4825,3635
WP3941,836,3636
WP3930,6469,3637
WP399,120892,3650
WP399,1387,3651
WP32,29904,0
WP4483,10000,3649
WP32,8672,1
WP32,8637,2
WP32,26986,3
WP32,5610,4
WP32,1981,5
WP32,1978,6
WP32,1979,7
WP32,7458,8
WP3941,54205,3641
WP32,27102,9
WP3941,713,3642
WP3941,712,3643
WP3941,7189,3644
WP4352,23265,3645
WP4875,23237,3646
WP4352,801,3647
WP3941,7124,3648
WP334,2696,3660
WP363,2697,3661
WP363,2931,3662
WP4946,91442,1000
WP363,1499,3652
WP399,1499,3653
WP4483,1956,3654
WP399,2033,3655
WP363,207,3656
WP4483,207,3657
WP4483,208,3658
WP4483,2099,3659
WP399,387,3670
WP363,4041,3671
WP399,4041,3672
WP363,409,3673
WP3929,5879,1011
WP4204,1019,1010
WP4718,9415,1008
WP3929,10451,1007
WP4946,5983,1006
WP4946,5111,1005
WP4204,3021,1004
WP428,5176,1003
WP4946,6117,1002
WP3929,5894,1001
WP363,2932,3663
WP399,2932,3664
WP411,3191,3665
WP4483,3265,3666
WP411,3276,3667
WP399,3725,3668
WP363,387,3669
WP428,6885,1009
WP4483,5291,3680
WP4483,5293,3681
WP4483,5294,3682
WP399,5515,3683
WP399,5516,3684
WP428,817,1022
WP4946,2177,1021
WP3929,207,1020
WP3929,7409,1019
WP3929,409,1018
WP4946,55215,1017
WP4946,675,1016
WP428,5530,1015
WP3929,109,1014
WP3929,408,1013
WP4946,83990,1012
WP363,4609,3674
WP399,4609,3675
WP411,4809,3676
WP4483,4893,3677
WP399,51384,3678
WP4483,5290,3679
WP363,5579,3690
WP399,5579,3691
WP399,5587,3692
WP363,5594,3693
WP4483,5594,3694
WP4875,5594,3695
WP3929,9844,1033
WP3929,56477,1032
WP4718,2180,1031
WP4946,1111,1030
WP4718,3992,1029
WP4946,472,1028
WP3929,5058,1027
WP4946,54107,1026
WP3929,53358,1025
WP4204,1029,1024
WP3929,5295,1023
WP399,5518,3685
WP399,5519,3686
WP399,5527,3687
WP363,5578,3688
WP399,5578,3689
WP4946,7486,1044
WP4946,5984,1043
WP3929,6374,1042
WP4204,3020,1041
WP4946,7398,1040
WP3929,2785,1039
WP3929,6464,1038
WP3929,7410,1037
WP3929,653361,1036
WP4946,105376156,1035
WP4946,105376156,1034
WP4483,5595,3696
WP4875,5595,3697
WP363,5599,3698
WP363,5601,3699
WP3929,5604,1055
WP3929,6774,1054
WP3929,2786,1053
WP4830,1499,1052
WP428,50964,1051
WP3929,94235,1050
WP3929,1398,1049
WP3929,2793,1048
WP428,5579,1047
WP3929,5579,1046
WP4830,5979,1045
WP5293,929,24418
WP5293,3684,24417
WP5293,5293,24419
WP4946,545,1066
WP5180,7248,24410
WP3929,3265,1065
WP4946,9156,1064
WP5180,64223,24412
WP3929,2787,1063
WP5095,64806,24411
WP3929,55970,1062
WP5095,3592,24414
WP3929,2783,1061
WP5293,6774,24413
WP3929,5293,1060
WP5095,3576,24416
WP5095,3596,24415
WP2882,144195,36407
WP2882,2940,36408
WP5342,154,12438
WP2882,340024,36409
WP1589,1571,12439
WP4946,5429,1059
WP3929,6773,1058
WP4718,2194,1057
WP4946,201254,1056
WP4925,8720,12432
WP5053,2674,12433
WP2882,2495,36400
WP4925,468,12430
WP2882,2948,36401
WP5053,10468,12431
WP2882,2941,36402
WP5053,2668,12436
WP2882,3726,36403
WP1589,1051,12437
WP2882,283848,36404
WP4872,54361,12434
WP2882,23491,36405
WP5053,3611,12435
WP2882,8824,36406
WP5095,1435,24429
WP5095,282616,24428
WP170,2101,12440
WP4946,57697,1077
WP531,9156,24421
WP4946,2175,1076
WP5095,53342,24420
WP3929,54331,1075
WP531,57804,24423
WP4946,80233,1074
WP5293,3265,24422
WP4946,2188,1073
WP531,5426,24425
WP4946,2187,1072
WP5293,6199,24424
WP4946,5426,1071
WP5095,282618,24427
WP3929,2788,1070
WP5180,63973,24426
WP170,5465,12449
WP4946,2072,1069
WP4946,57804,1068
WP4946,378708,1067
WP4558,3454,12443
WP4558,3455,12444
WP111,293,12441
WP4558,3444,12442
WP4558,3460,12447
WP170,367,12448
WP4558,3456,12445
WP4558,3459,12446
WP3929,2870,1080
WP3929,4067,1088
WP3929,2790,1087
WP4946,2189,1086
WP3929,1147,1085
WP3929,4893,1084
WP428,1460,1083
WP4718,6721,1082
WP4946,22909,1081
WP170,3172,12418
WP4925,51360,12419
WP111,9016,12416
WP111,9481,12417
WP4946,3146,1079
WP4946,3014,1078
WP111,4537,12410
WP111,4538,12411
WP111,4541,12414
WP111,7352,12415
WP111,4539,12412
WP111,4540,12413
WP428,1499,1091
WP5293,3562,24407
WP3929,6352,1090
WP5095,3562,24406
WP5293,1437,24409
WP5095,1437,24408
WP4484,3592,1099
WP4484,3586,1098
WP4484,3567,1097
WP5180,3020,24401
WP4484,3565,1096
WP5293,100506403,24400
WP4484,3558,1095
WP5095,2919,24403
WP4484,355,1094
WP5095,6374,24402
WP4484,3458,1093
WP5180,836,24405
WP428,2932,1092
WP531,5984,24404
WP4925,4780,12429
WP4872,2254,12427
WP5053,657,12428
WP3929,8517,1089
WP4872,2263,12421
WP5053,2263,12422
WP4925,3309,12420
WP4925,23645,12425
WP5053,655,12426
WP5053,8516,12423
WP5053,7481,12424
WP5381,6093,12407
WP5381,10670,12408
WP5381,2119,12405
WP4584,1806,12406
WP111,4536,12409
WP5381,4659,12400
WP4584,1152,12403
WP4584,6241,12404
WP5381,8741,12401
WP5381,2622,12402
WP111,1353,12391
WP170,3164,12392
WP3657,1786,36360
WP111,1351,12390
WP2882,6535,36361
WP5342,5976,12395
WP2882,6533,36362
WP111,6389,12396
WP2882,3337,36363
WP1589,4524,12393
WP2882,6538,36364
WP170,5467,12394
WP2882,201266,36365
WP531,6117,24377
WP5293,5894,24376
WP5180,842,24379
WP531,5111,24378
WP5293,5290,24371
WP5180,1385,24370
WP5095,3553,24373
WP5095,27189,24372
WP5180,4772,24375
WP5095,27190,24374
WP111,9377,12399
WP2882,66035,36366
WP2882,2949,36367
WP111,6391,12397
WP2882,2947,36368
WP111,6392,12398
WP2882,56262,36369
WP3287,896,36350
WP2882,1962,36351
WP2882,10057,36352
WP3640,1647,36353
WP2882,5052,36354
WP5180,57521,24388
WP5180,7157,24387
WP5293,207,24389
WP5293,8900,24380
WP5180,1019,24382
WP531,5983,24381
WP5095,3586,24384
WP5095,3569,24383
WP5293,597,24386
WP5293,4609,24385
WP2882,9588,36355
WP2882,200010,36356
