node_id,label,PathwayName,identifiers,type,PathwayID,GeneName,GeneID
WP170,Nuclear receptors,Nuclear receptors,WP170,pathway,WP170,,
100521392,SIGMAR1,,100521392,gene,,SIGMAR1,100521392
10972,TMED10,,TMED10,gene,,TMED10,10972
10265,IRX5,,ENSG00000176842,gene,,IRX5,10265
8436,CAVIN2,,CAVIN2,gene,,CAVIN2,8436
7384,UQCRC1,,UQCRC1,gene,,UQCRC1,7384
110255240,BDKRB2,,110255240,gene,,BDKRB2,110255240
490391,LBR,,490391,gene,,LBR,490391
WP5311,Isoglobo series sphingolipids,Isoglobo series sphingolipids,WP5311,pathway,WP5311,,
197322,ACSF3,,ACSF3,gene,,ACSF3,197322
56624,ASAH2,,ENSG00000188611,gene,,ASAH2,56624
387695,C10orf99,,C10orf99,gene,,C10orf99,387695
428674,RPTOR,,428674,gene,,RPTOR,428674
4247,MGAT2,,MGAT2,gene,,MGAT2,4247
23247,KATNIP,,ENSG00000047578,gene,,KATNIP,23247
WP790,Hedgehog signaling pathway,Hedgehog signaling pathway,WP790,pathway,WP790,,
8379,MAD1L1,,MAD1L1,gene,,MAD1L1,8379
WP2374,Oncostatin M signaling pathway,Oncostatin M signaling pathway,WP2374,pathway,WP2374,,
79056,PRRG4,,ENSG00000135378,gene,,PRRG4,79056
5588,PRKCQ,,PRKCQ,gene,,PRKCQ,5588
3034,HAL,,ENSG00000084110,gene,,HAL,3034
475526,BRAF,,475526,gene,,BRAF,475526
100076868,PTGES,,100076868,gene,,PTGES,100076868
57546,PDP2,,ENSG00000172840,gene,,PDP2,57546
375318,AQP12A,,AQP12A,gene,,AQP12A,375318
4752,NEK3,,NEK3,gene,,NEK3,4752
25780,RASGRP3,,RASGRP3,gene,,RASGRP3,25780
2539,G6PD,,ENSG00000160211,gene,,G6PD,2539
3984,LIMK1,,ENSG00000106683,gene,,LIMK1,3984
101928840,PWRN1,,PWRN1,gene,,PWRN1,101928840
28992,MACROD1,,MACROD1,gene,,MACROD1,28992
3766,KCNJ10,,ENSG00000177807,gene,,KCNJ10,3766
57007,ACKR3,,ENSG00000144476,gene,,ACKR3,57007
123264,SLC51B,,SLC51B,gene,,SLC51B,123264
3394,IRF8,,IRF8,gene,,IRF8,3394
200539,ANKRD23,,ENSG00000163126,gene,,ANKRD23,200539
10598,AHSA1,,AHSA1,gene,,AHSA1,10598
23743,BHMT2,,ENSG00000132840,gene,,BHMT2,23743
7837,PXDN,,ENSG00000130508,gene,,PXDN,7837
6799,SULT1A2,,SULT1A2,gene,,SULT1A2,6799
23562,CLDN14,,CLDN14,gene,,CLDN14,23562
5452,POU2F2,,POU2F2,gene,,POU2F2,5452
727897,MUC5B,,ENSG00000117983,gene,,MUC5B,727897
5422,POLA1,,ENSG00000101868,gene,,POLA1,5422
22800,RRAS2,,ENSG00000133818,gene,,RRAS2,22800
760,CA2,,CA2,gene,,CA2,760
64927,TTC23,,ENSG00000103852,gene,,TTC23,64927
25,ABL1,,ABL1,gene,,ABL1,25
487257,MMP15,,487257,gene,,MMP15,487257
23225,NUP210,,ENSG00000132182,gene,,NUP210,23225
8776,MTMR1,,ENSG00000063601,gene,,MTMR1,8776
100625784,FZD9,,100625784,gene,,FZD9,100625784
51604,PIGT,,ENSG00000124155,gene,,PIGT,51604
5055,SERPINB2,,ENSG00000197632,gene,,SERPINB2,5055
1022,CDK7,,ENSG00000134058,gene,,CDK7,1022
29102,DROSHA,,DROSHA,gene,,DROSHA,29102
60386,SLC25A19,,ENSG00000125454,gene,,SLC25A19,60386
1293,COL6A3,,COL6A3,gene,,COL6A3,1293
477795,CPN1,,477795,gene,,CPN1,477795
7703,PCGF2,,ENSG00000277258,gene,,PCGF2,7703
100289462,DEFB4A,,ENSG00000171711,gene,,DEFB4A,100289462
56957,OTUD7B,,OTUD7B,gene,,OTUD7B,56957
255061,TAC4,,ENSG00000176358,gene,,TAC4,255061
WP127,IL-5 signaling pathway,IL-5 signaling pathway,WP127,pathway,WP127,,
2960,GTF2E1,,GTF2E1,gene,,GTF2E1,2960
397457,EDNRA,,397457,gene,,EDNRA,397457
9993,DGCR2,,DGCR2,gene,,DGCR2,9993
WP3303,RAC1/PAK1/p38/MMP2 pathway,RAC1/PAK1/p38/MMP2 pathway,WP3303,pathway,WP3303,,
4363,ABCC1,,ENSG00000103222,gene,,ABCC1,4363
WP2912,Vascular smooth muscle contraction,Vascular smooth muscle contraction,WP2912,pathway,WP2912,,
2911,GRM1,,GRM1,gene,,GRM1,2911
WP43,Oxidation by cytochrome P450,Oxidation by cytochrome P450,WP43,pathway,WP43,,
26608,TBL2,,ENSG00000106638,gene,,TBL2,26608
126789,PUSL1,,PUSL1,gene,,PUSL1,126789
WP4752,Base excision repair,Base excision repair,WP4752,pathway,WP4752,,
56832,IFNK,,ENSG00000147896,gene,,IFNK,56832
WP2406,Cardiac progenitor differentiation,Cardiac progenitor differentiation,WP2406,pathway,WP2406,,
55102,ATG2B,,ATG2B,gene,,ATG2B,55102
7316,UBC,,ENSG00000150991,gene,,UBC,7316
475546,PRKAG2,,475546,gene,,PRKAG2,475546
475213,WASL,,475213,gene,,WASL,475213
WP3935,Leptin-insulin signaling overlap,Leptin-insulin signaling overlap,WP3935,pathway,WP3935,,
8322,FZD4,,FZD4,gene,,FZD4,8322
7040,TGFB1,,ENSG00000105329,gene,,TGFB1,7040
WP5144,NRP1-triggered signaling pathways in pancreatic cancer,NRP1-triggered signaling pathways in pancreatic cancer,WP5144,pathway,WP5144,,
84532,ACSS1,,ENSG00000154930,gene,,ACSS1,84532
79885,HDAC11,,HDAC11,gene,,HDAC11,79885
100053393,CTNNA2,,100053393,gene,,CTNNA2,100053393
100074731,ACOX2,,100074731,gene,,ACOX2,100074731
11200,CHEK2,,ENSG00000183765,gene,,CHEK2,11200
2621,GAS6,,GAS6,gene,,GAS6,2621
79048,SECISBP2,,ENSG00000187742,gene,,SECISBP2,79048
26157,GIMAP2,,ENSG00000106560,gene,,GIMAP2,26157
107080638,TBC1D7,,TBC1D7,gene,,TBC1D7,107080638
254528,MEIOB,,ENSG00000162039,gene,,MEIOB,254528
6620,SNCB,,SNCB,gene,,SNCB,6620
6009,RHEB,,ENSG00000106615,gene,,RHEB,6009
3875,KRT18,,ENSG00000111057,gene,,KRT18,3875
418660,GYG2,,418660,gene,,GYG2,418660
6146,RPL22,,RPL22,gene,,RPL22,6146
91010,FMNL3,,ENSG00000161791,gene,,FMNL3,91010
3188,HNRNPH2,,HNRNPH2,gene,,HNRNPH2,3188
3265,HRAS,,HRAS,gene,,HRAS,3265
56981,PRDM11,,PRDM11,gene,,PRDM11,56981
27141,CIDEB,,ENSG00000136305,gene,,CIDEB,27141
55607,PPP1R9A,,PPP1R9A,gene,,PPP1R9A,55607
5211,PFKL,,ENSG00000141959,gene,,PFKL,5211
26525,IL36RN,,IL36RN,gene,,IL36RN,26525
339390,CLEC4G,,CLEC4G,gene,,CLEC4G,339390
3939,LDHA,,ENSG00000134333,gene,,LDHA,3939
